투자사명,투자단계,log_투자유치금액
네이버,1,2.833213344056216
네이버,3,3.4011973816621555
포항공과대학교기술지주,1,2.833213344056216
포항공과대학교기술지주,3,2.079441541679836
포항공과대학교기술지주,3,3.4011973816621555
비에이파트너스,3,3.4011973816621555
비에이파트너스,3,2.8903717578961645
유티씨인베스트먼트,3,2.8903717578961645
유티씨인베스트먼트,3,3.4011973816621555
포스코기술투자,3,2.079441541679836
포스코기술투자,3,3.4011973816621555
네이버,1,2.833213344056216
네이버,2,3.4339872044851463
네이버,2,3.4339872044851463
씨제이인베스트먼트,2,3.4339872044851463
씨제이인베스트먼트,2,3.4339872044851463
스마일게이트인베스트먼트,2,3.4339872044851463
스마일게이트인베스트먼트,2,3.4339872044851463
스프링캠프,1,2.833213344056216
스프링캠프,2,3.4339872044851463
케이티인베스트먼트,2,3.4339872044851463
케이티인베스트먼트,2,3.4339872044851463
빅뱅엔젤스,1,2.833213344056216
빅뱅엔젤스,2,3.4339872044851463
네이버,1,2.833213344056216
네이버,3,4.875197323201151
네이버,3,4.836281906951478
롯데벤처스,1,2.833213344056216
롯데벤처스,3,4.836281906951478
롯데벤처스,3,4.875197323201151
카카오벤처스,1,2.833213344056216
카카오벤처스,3,4.875197323201151
카카오벤처스,3,4.836281906951478
신한캐피탈,1,2.833213344056216
신한캐피탈,3,4.836281906951478
신한캐피탈,3,4.875197323201151
미래에셋벤처투자,3,4.875197323201151
미래에셋벤처투자,3,4.836281906951478
미래에셋캐피탈,3,4.875197323201151
미래에셋캐피탈,3,4.836281906951478
디에스씨인베스트먼트,3,4.836281906951478
디에스씨인베스트먼트,3,4.875197323201151
뮤렉스파트너스,3,4.875197323201151
뮤렉스파트너스,3,4.836281906951478
네이버,1,2.833213344056216
블루포인트파트너스,1,2.833213344056216
엘비인베스트먼트,3,4.465908118654584
빅베이슨캐피탈,5,3.295836866004329
옐로우독,5,3.295836866004329
네이버,1,2.833213344056216
인포뱅크,1,0.6931471805599453
한국투자파트너스,5,4.61512051684126
쿨리지코너인베스트먼트,5,4.61512051684126
에이치비인베스트먼트,5,4.61512051684126
하나은행,5,4.61512051684126
한국산업은행,5,4.61512051684126
비에이파트너스,3,2.8903717578961645
비에이파트너스,5,4.61512051684126
디에스씨인베스트먼트,3,2.8903717578961645
디에스씨인베스트먼트,5,4.61512051684126
빅뱅엔젤스,1,0.4700036292457355
컴퍼니비,1,0.4700036292457355
네이버,5,3.4339872044851463
네이버,5,3.828641396489095
스트롱벤처스,3,2.772588722239781
스트롱벤처스,5,3.828641396489095
은행권청년창업재단,1,2.833213344056216
은행권청년창업재단,5,3.828641396489095
스톤브릿지벤처스,5,3.828641396489095
스톤브릿지벤처스,3,2.772588722239781
네이버,1,1.791759469228055
네이버,3,4.212127597878484
네이버,3,4.02535169073515
롯데벤처스,1,2.833213344056216
롯데벤처스,3,4.212127597878484
롯데벤처스,3,4.02535169073515
카카오벤처스,1,1.791759469228055
카카오벤처스,3,4.212127597878484
카카오벤처스,3,4.02535169073515
블루포인트파트너스,1,0.9162907318741552
블루포인트파트너스,3,4.212127597878484
한국투자파트너스,3,4.212127597878484
한국투자파트너스,3,4.02535169073515
신한캐피탈,3,4.02535169073515
신한캐피탈,3,4.212127597878484
신한캐피탈,1,1.791759469228055
네이버,1,1.791759469228055
네이버,1,1.791759469228055
미래과학기술지주,1,2.833213344056216
미래과학기술지주,1,1.791759469228055
네이버,3,4.465908118654584
네이버,5,5.420534999272286
블루포인트파트너스,1,2.833213344056216
블루포인트파트너스,5,5.420534999272286
씨제이인베스트먼트,5,5.303304908059076
씨제이인베스트먼트,5,5.420534999272286
아이비케이기업은행,5,5.303304908059076
아이비케이기업은행,5,5.420534999272286
서울산업진흥원,1,2.833213344056216
서울산업진흥원,5,5.420534999272286
한국투자파트너스,5,5.303304908059076
한국투자파트너스,5,5.420534999272286
하나금융지주,5,5.303304908059076
하나금융지주,5,5.420534999272286
한국산업은행,5,5.420534999272286
한국산업은행,5,5.303304908059076
스틱벤처스,5,5.420534999272286
스틱벤처스,5,5.303304908059076
스틱벤처스,3,3.044522437723423
네이버,3,3.828641396489095
네이버,5,4.465908118654584
스트롱벤처스,3,3.828641396489095
스트롱벤처스,5,4.465908118654584
스트롱벤처스,5,3.610917912644224
한국투자파트너스,3,3.828641396489095
한국투자파트너스,5,4.465908118654584
하나금융지주,5,4.465908118654584
하나금융지주,3,3.828641396489095
하나벤처스,5,4.465908118654584
하나벤처스,3,3.828641396489095
하나벤처스,5,3.610917912644224
비에스케이인베스트먼트,1,2.833213344056216
비에스케이인베스트먼트,3,3.828641396489095
비에스케이인베스트먼트,5,3.610917912644224
비에스케이인베스트먼트,5,4.465908118654584
네이버,3,3.713572066704308
퓨처플레이,1,2.833213344056216
서울산업진흥원,1,2.833213344056216
비하이인베스트먼트,3,3.713572066704308
신한대체투자운용,3,3.713572066704308
에이치지이니셔티브,1,2.833213344056216
크립톤,1,0.6931471805599453
